country,carrier,year,min,max,unit,Source,component
NL,onwind,2020,,4100.0,MW,Interpolation between existing capacities and 2030 maximum,generator
NO,onwind,2020,,3594.222261252946,MW,Interpolation between existing capacities and 2030 maximum,generator
PL,onwind,2020,,6266.655381302254,MW,Interpolation between existing capacities and 2030 maximum,generator
PT,onwind,2020,,5213.24564051156,MW,Interpolation between existing capacities and 2030 maximum,generator
RO,onwind,2020,,3022.52,MW,Interpolation between existing capacities and 2030 maximum,generator
SE,onwind,2020,,13259.69,MW,Interpolation between existing capacities and 2030 maximum,generator
SI,onwind,2020,,5.32977156600406,MW,Interpolation between existing capacities and 2030 maximum,generator
SK,onwind,2020,,3.233400518269678,MW,Interpolation between existing capacities and 2030 maximum,generator
AL,solar,2020,,16.65497438896999,MW,Interpolation between existing capacities and 2030 maximum,generator
AT,solar,2020,,2220.1,MW,Interpolation between existing capacities and 2030 maximum,generator
BA,solar,2020,,36.0290257730784,MW,Interpolation between existing capacities and 2030 maximum,generator
BE,solar,2020,,5428.54337645247,MW,Interpolation between existing capacities and 2030 maximum,generator
BG,solar,2020,,1072.859499458582,MW,Interpolation between existing capacities and 2030 maximum,generator
CH,solar,2020,,2936.083077681703,MW,Interpolation between existing capacities and 2030 maximum,generator
CZ,solar,2020,,2073.420000000001,MW,Interpolation between existing capacities and 2030 maximum,generator
DE,solar,2020,,53708.24778557188,MW,Interpolation between existing capacities and 2030 maximum,generator
DK,solar,2020,,1300.0,MW,Interpolation between existing capacities and 2030 maximum,generator
EE,solar,2020,,130.3,MW,Interpolation between existing capacities and 2030 maximum,generator
ES,solar,2020,,11784.52837019695,MW,Interpolation between existing capacities and 2030 maximum,generator
FI,solar,2020,,390.9999999999999,MW,Interpolation between existing capacities and 2030 maximum,generator
FR,solar,2020,,11933.95464524045,MW,Interpolation between existing capacities and 2030 maximum,generator
GB,solar,2020,,13462.36339469028,MW,Interpolation between existing capacities and 2030 maximum,generator
GR,solar,2020,,3247.0,MW,Interpolation between existing capacities and 2030 maximum,generator
HR,solar,2020,,83.5638554370333,MW,Interpolation between existing capacities and 2030 maximum,generator
HU,solar,2020,,1953.0,MW,Interpolation between existing capacities and 2030 maximum,generator
IE,solar,2020,,39.96589517521873,MW,Interpolation between existing capacities and 2030 maximum,generator
IT,solar,2020,,21607.55828478348,MW,Interpolation between existing capacities and 2030 maximum,generator
LT,solar,2020,,148.0,MW,Interpolation between existing capacities and 2030 maximum,generator
LU,solar,2020,,269.6157040801764,MW,Interpolation between existing capacities and 2030 maximum,generator
LV,solar,2020,,7.084308613106668,MW,Interpolation between existing capacities and 2030 maximum,generator
ME,solar,2020,,6.22,MW,Interpolation between existing capacities and 2030 maximum,generator
MK,solar,2020,,94.35999999999999,MW,Interpolation between existing capacities and 2030 maximum,generator
NL,solar,2020,,10213.0,MW,Interpolation between existing capacities and 2030 maximum,generator
NO,solar,2020,,151.5389591318717,MW,Interpolation between existing capacities and 2030 maximum,generator
PL,solar,2020,,3935.74,MW,Interpolation between existing capacities and 2030 maximum,generator
